Book Id	Title	Sort Character	Primary Author	Primary Author Role	Secondary Author	Secondary Author Roles	Publication	Date	Review	Rating	Comment	Private Comment	Summary	Physical Description	Weight	Height	Thickness	Length	Dimensions	Page Count	LCCN	Acquired	Date Started	Date Read	BCID	Tags	Collections	Languages	Original Languages	LC Classification	ISBN	ISBNs	Subjects	Dewey Decimal	Dewey Wording	Copies	Source	Entry Date	OCLC	Work id
5015259	Le contre-ciel	1	Daumal, René				Gallimard (1970), Paperback	1970		5			Le contre-ciel par René Daumal (1970)	7.09 inches	0.44 livres (poids)	7.09 pouces	0.51 pouces	4.33 pouces	7.09 x 4.33 x 0.51 inches								Your library	English	French	PQ2607.A86C613	[2070300838]	2070300838, 9782070300839		808	Anthologies And Instruction > By Topic > Literature	1	Amazon.com	[2006-07-25]		771917
5015261	Cosmos	1	Gombrowicz, Witold				Gallimard (1973), Paperback	1973		5			Cosmos par Witold Gombrowicz (1973)	220 p.; 6.69 inches	0.35 livres (poids)	6.69 pouces	0.71 pouces	4.25 pouces	6.69 x 4.25 x 0.71 inches	220							Your library	English	French	PG7158.G669K63	[2070364003]	2070364003, 9782070364008		891.8537	Czechoslovakia and Poland > Literature > Literature of other Indo-European languages > Literature of other languages 	1	Amazon.com	[2006-07-25]		15793
5015262	La Douleur du dollar	1	Valdés, Zoé				Actes Sud (1997), Hardcover	1997		5			La Douleur du dollar par Zoé Valdés (1997)	343 p.; 8.5 inches	0.75 livres (poids)	8.5 pouces	1.02 pouces	4.57 pouces	8.5 x 4.57 x 1.02 inches	343							Your library	English	French	PQ7390 V35	[2742710426]	2742710426, 9782742710423		813	American Fiction > American literature > Literature	1	Amazon.com	[2006-07-25]		1029686
5015264	En Attendant Godot	1	Beckett, Samuel				Editions De Minuit (1997), Edition: French, Paperback	1997		5			En Attendant Godot par Samuel Beckett (1997)	124 p.; 6.9 inches	0.25 livres (poids)	6.9 pouces	0.4 pouces	4.5 pouces	6.9 x 4.5 x 0.4 inches	124							Your library	English	French	PQ2603.E378E53	[2707301485]	2707301485, 9782707301482	Audio-visual materials > Sound recordings|Beckett, Samuel, 1906-1989 > Notebooks, sketchbooks, etc|Beckett, Samuel, 1906-1989. En attendant Godot > Criticism, Textual|Tragicomedy	842.914	French drama > French literature > Literature	1	Amazon.com	[2006-07-25]		2156
5015267	Eupalinos	1	Valéry, Paul				Gallimard (1970), Paperback	1970		5			Eupalinos par Paul Valéry (1970)	190 p.; 6.69 inches	0.26 livres (poids)	6.69 pouces	0.47 pouces	4.25 pouces	6.69 x 4.25 x 0.47 inches	190							Your library	English	French	PQ2643	[2070302830]	2070302830, 9782070302833		848	Authors, French and French miscellany > French literature > Literature	1	Amazon.com	[2006-07-25]		9441831
5015293	La Conjuration des imbéciles	1	Toole, John Kennedy				10-18 (1992), Poche	1992		5			La Conjuration des imbéciles par John Kennedy Toole (1992)	478 p.; 7.09 inches	0.69 livres (poids)	7.09 pouces	1.18 pouces	4.33 pouces	7.09 x 4.33 x 1.18 inches	478							Your library	French	French	PS3570.O54C66	[2264017597]	2264017597, 9782264017598	English Fiction|English fiction|Humorous Stories|Humorous fiction|Humorous stories|Marginality, Social > Fiction|Mothers and sons > Fiction|Mothers and sons > Louisana > New Orleans > Fiction|Mothers and sons > New Orleans > Fiction|New Orleans (La.) > Fiction|New Orleans (la.) > Fiction|Young men > Fiction|Young men > Louisana > New Orleans > Fiction|Young men > New Orleans > Fiction|humorous fiction|humorous stories	813.54	20th Century > American Fiction > American literature > Later 20th Century 1945- > Literature	1	Amazon.fr	[2006-07-25]		4096291
5015296	La Course au mouton sauvage	1	Murakami, Haruki				Seuil (1992), Poche	1992		5			La Course au mouton sauvage par Haruki Murakami (1992)	320 p.; 7.09 inches	0.4 livres (poids)	7.09 pouces	0.79 pouces	4.33 pouces	7.09 x 4.33 x 0.79 inches	320							Your library	French	German	PL856.U673H5713	[2020159511]	2020159511, 9782020159517		895.635	East Asian literature > Japanese fiction > Japanese literature > Literature > Literature of other languages 	1	Amazon.fr	[2006-07-25]		4987
5015299	Dictionnaire des symboles	1	Gheerbrant, Alain		Jean Chevalier		Robert Laffont (1982), Broché	1982		5			Dictionnaire des symboles par Alain Gheerbrant (1982)	1060 p.; 7.87 inches	1.31 livres (poids)	7.87 pouces	1.18 pouces	5.12 pouces	7.87 x 5.12 x 1.18 inches	1060							Your library	French	French	GR931.C4413	[2221503198]	2221503198, 9782221503195	Folklore > Dictionaries|Mythology > Dictionaries|Signs and symbols > Dictionaries|Symbolism > Dictionaries|Symbolism in folklore > Dictionaries	302.2223	Communication > Kinds of communication > Nonverbal communication > Social Interaction > Social Sciences  > Social Sciences, Sociology, Anthropology > Symbols	1	Amazon.fr	[2006-07-25]		37692
5015301	Dictionnaire du rock (coffret de 3 volumes)	1	Assayas, Michka				Robert Laffont (2000), Poche	2000		5			Dictionnaire du rock (coffret de 3 volumes) par Michka Assayas (2000)	2649 p.; 7.87 inches	3.39 livres (poids)	7.87 pouces	3.15 pouces	5.51 pouces	7.87 x 5.51 x 3.15 inches	2649							Your library	French	French		[2221911881]	2221911881, 9782221911884		781.66	Arts And Leisure > Music > Rock > Theory	1	Amazon.fr	[2006-07-25]		696660
5015303	Eloge de la folie	1	Erasme				Mille et une nuits (1997), Poche	1997		5			Eloge de la folie par Erasme (1997)							199							Your library	French	Dutch	PA8514.E5	[2842051041]	2842051041, 9782842051044	Folly|Folly > Christianity|Folly > Early works to 1800|Folly > Religious aspects > Christianity	873.04	Epic poetry, Latin > Latin literature > Literature	1	Amazon.fr	[2006-07-25]		51658
5015307	Extension Du Domain De La Lutte	1	Houellebecq, Michel				European Book Co (2002), Paperback	2002		5			Extension Du Domain De La Lutte par Michel Houellebecq (2002)	155 p.; 7.2 inches	0.19 livres (poids)	7.2 pouces	0.43 pouces	4.42 pouces	7.2 x 4.42 x 0.43 inches	155							Your library	English	French	PQ2668.O77 E87	[2290045764]	2290045764, 9782290045763		813	American Fiction > American literature > Literature	1	Amazon.com	[2006-07-25]		16151
5015309	Les Faux-Monnayeurs (Folio Ser.: No.879)	1	Gide, Andre				Schoenhof Foreign Books Inc (1972), Paperback	1972		5			Les Faux-Monnayeurs (Folio Ser.: No.879) par Andre Gide (1972)	364 p.; 7.04 inches	0.41 livres (poids)	7.04 pouces	0.68 pouces	6.08 pouces	7.04 x 6.08 x 0.68 inches	364							Your library	English	French	PQ2613.I2F3	[2070368793]	2070368793, 9782070368792	Counterfeiters > Fiction|French fiction	813	American Fiction > American literature > Literature	1	Amazon.com	[2006-07-25]		3736280
5015310	Les Filles Du Feu Suivi De Aurelia	1	Nerval				Gallimard French (date?), Paperback	date?		5			Les Filles Du Feu Suivi De Aurelia par Nerval (date?)	439 p.; 6.77 inches	0.57 livres (poids)	6.77 pouces	0.94 pouces	4.25 pouces	6.77 x 4.25 x 0.94 inches	439							Your library	English	French		[2070361799]	2070361799, 9782070361793		848	Authors, French and French miscellany > French literature > Literature	1	Amazon.com	[2006-07-25]		1281898
5015312	Les Freres Karamazov I	1	Dostoievski				Gallimard French (date?), Paperback	date?		5			Les Freres Karamazov I par Dostoievski (date?)	7.09 inches	0.55 livres (poids)	7.09 pouces	0.79 pouces	4.33 pouces	7.09 x 4.33 x 0.79 inches							roman, russe	Your library	English	French	PG3326.B7 vol.1	[2070364860]	2070364860, 9782070364862	Brothers > FIction|Brothers > Fiction|Didactic fiction|Fathers and sons > Fiction|Russia > Social life and customs > 1533-1917 > Fiction	813	American Fiction > American literature > Literature	1	Amazon.com	[2006-07-25]		1934851
5015313	Le gai savoir	1	Nietzsche, Friedrich				Gallimard (1989), Paperback	1989		5			Le gai savoir par Friedrich Nietzsche (1989)	384 p.; 6.93 inches	0.44 livres (poids)	6.93 pouces	0.55 pouces	4.02 pouces	6.93 x 4.02 x 0.55 inches	384							Your library	English	German	B3313.F72E5	[2070325407]	2070325407, 9782070325405	Ethics|Human beings|Philosophy|Power (Philosophy)|Religion > Philosophy|ethics|philosophy	193	German > Modern western philosophy > Philosophy and Psychology	1	Amazon.com	[2006-07-25]		5459
5015316	La Grande anthologie de la chanson française	1					LGF (2001), Paperback	2001		5			La Grande anthologie de la chanson française (2001)	894 p.; 6.69 inches	0.84 livres (poids)	6.69 pouces	1.34 pouces	4.41 pouces	6.69 x 4.41 x 1.34 inches	894							Your library	English	French		[2253130273]	2253130273, 9782253130277		782.42164	Arts And Leisure > Folk songs and traditional children's songs > Music > Vocal	1	Amazon.com	[2006-07-25]		1281900
5015319	Le grand incendie de Londres: Récit, avec incises et bifurcations, 1985-1987 (Fiction & Cie)	1	Roubaud, Jacques				Seuil (1989), Unknown Binding	1989		5			Le grand incendie de Londres: Récit, avec incises et bifurcations, 1985-1987 (Fiction & Cie) par Jacques Roubaud (1989)	411 p.; 7.72 inches	0.88 livres (poids)	7.72 pouces	1.02 pouces	5.43 pouces	7.72 x 5.43 x 1.02 inches	411							Your library	English	French	PQ2678.O77G7313	[2020104725]	2020104725, 9782020104722	Autobiographical fiction|Roubaud, Jacques > Fiction	813	American Fiction > American literature > Literature	1	Amazon.com	[2006-07-25]		478910
5015320	Le Grand Livre Du Jazz	1	Berendt, Joachim Ern				Livre De Poche French (date?), Paperback	date?		5			Le Grand Livre Du Jazz par Joachim Ern Berendt (date?)														Your library	English	German	ML3506.B4513	[2253047171]	2253047171, 9782253047179	Jazz|Jazz > History and criticism|jazz	781.6509	Arts And Leisure > Jazz > Music > Theory	1	Amazon.com	[2006-07-25]		619528
5015322	Héros et tombes	1	Sabato, Ernesto				Seuil (1996), Paperback	1996		5			Héros et tombes par Ernesto Sabato (1996)	6.77 inches	0.57 livres (poids)	6.77 pouces	0.87 pouces	4.33 pouces	6.77 x 4.33 x 0.87 inches								Your library	English	Spanish	PQ7797.S214S6	[2020281376]	2020281376, 9782020281379	Love stories	863	Literature > Spanish and Portuguese Literature > Spanish fiction	1	Amazon.com	[2006-07-25]		84283
5015323	Histoire de la philosophie occulte	1	Alexandrian				Payot (1994), Paperback	1994		5			Histoire de la philosophie occulte par Alexandrian (1994)	390 p.; 7.17 inches	0.88 livres (poids)	7.17 pouces	0.16 pouces	4.96 pouces	7.17 x 4.96 x 0.16 inches	390							Your library	English			[2228888257]	2228888257, 9782228888257		133	Occultism > Parapsychology and occultism > Philosophy and Psychology	1	Amazon.com	[2006-07-25]		4927150
5015324	Jacques Le Fataliste (Folio Series, No 763)	1	Diderot, Denis				Schoenhofs Foreign Books (1970), Paperback	1970		5			Jacques Le Fataliste (Folio Series, No 763) par Denis Diderot (1970)	320 p.; 6.9 inches	0.45 livres (poids)	6.9 pouces	0.8 pouces	4.3 pouces	6.9 x 4.3 x 0.8 inches	320							Your library	English	French	PQ1979.A65E5	[2070367630]	2070367630, 9782070367634		843.5	1715-1789 > French fiction > French literature > Literature	1	Amazon.com	[2006-07-25]		97452
5015325	Le Jeu des perles de verre	1	Hesse, Hermann				Calmann-Lévy (1994), Paperback	1994		5			Le Jeu des perles de verre par Hermann Hesse (1994)	645 p.; 8.82 inches	1.46 livres (poids)	8.82 pouces	1.89 pouces	5.98 pouces	8.82 x 5.98 x 1.89 inches	645							Your library	English	German	PT2617.E85G513	[2702120695]	2702120695, 9782702120699		833.912	20th century, 1901- > Early 20th Century 1901- > German fiction > German fiction--1900-1945 > German literature > Literature	1	Amazon.com	[2006-07-25]		12943
5015328	La jeune Parque	1	Valéry, Paul				Gallimard (1974), Paperback	1974		5			La jeune Parque par Paul Valéry (1974)	189 p.; 6.69 inches	0.22 livres (poids)	6.69 pouces	0.47 pouces	4.25 pouces	6.69 x 4.25 x 0.47 inches	189							Your library	English	French	PQ2643.A26.J4	[2070317927]	2070317927, 9782070317929		848	Authors, French and French miscellany > French literature > Literature	1	Amazon.com	[2006-07-25]		1281907
5015331	Journal d'un Cure de Campagne	1	Bernanos, Georges				(date?), Edition: French, Paperback	date?		5			Journal d'un Cure de Campagne par Georges Bernanos (date?)	313 p.; 7.09 inches	0.36 livres (poids)	7.09 pouces	0.39 pouces	4.33 pouces	7.09 x 4.33 x 0.39 inches	313							Your library	English	French	PZ3.B45593 Di8 PQ2603.E5875	[2266025767]	2266025767, 9782266025768	Catholic Church > Fiction|Catholic church > Fiction|Christian literature, French|Clergy > Fiction|Diary Fiction|Diary fiction	813	American Fiction > American literature > Literature	1	Amazon.com	[2006-07-25]		17009
5015355	Europeana : Une brève histoire du XXe siècle	1	Ourednik, Patrik				Allia (2004), Poche	2004		5			Europeana : Une brève histoire du XXe siècle par Patrik Ourednik (2004)	151 p.; 6.69 inches	0.31 livres (poids)	6.69 pouces	0.39 pouces	3.94 pouces	6.69 x 3.94 x 0.39 inches	151							Your library	French	French	D424.O813	[2844851398]	2844851398, 9782844851390	Civilization, Modern|Civilization, Modern > 20th century|Civilization, modern|Europe > History > 20th century|Twentieth century	940.5	Europe > Europe > History and Geography > Later 20th century	1	Amazon.fr	[2006-07-25]		179330
5015356	L'abominable tisonnier de John McTaggart Ellis McTaggart et autres vies plus ou moins brèves (Fiction & Cie)	1	Roubaud, Jacques				Seuil (1997), Unknown Binding	1997		4.5			L'abominable tisonnier de John McTaggart Ellis McTaggart et autres vies plus ou moins brèves (Fiction & Cie) par Jacques Roubaud (1997)	327 p.; 7.9 inches	0.8 livres (poids)	7.9 pouces	0.9 pouces	5.6 pouces	7.9 x 5.6 x 0.9 inches	327							Your library	English	French		[2020106965]	2020106965, 9782020106962		848	Authors, French and French miscellany > French literature > Literature	1	Amazon.com	[2006-07-25]		1281910
5015357	L'Aleph	1	Borges, Jorge Luis				Gallimard (1977), Paperback	1977		5			L'Aleph par Jorge Luis Borges (1977)	218 p.; 7.17 inches	0.57 livres (poids)	7.17 pouces	0.63 pouces	4.96 pouces	7.17 x 4.96 x 0.63 inches	218							Your library	English	Spanish	PQ7797.B635A7	[2070296660]	2070296660, 9782070296668		863	Literature > Spanish and Portuguese Literature > Spanish fiction	1	Amazon.com	[2006-07-25]		6743207
5015358	L'art d'avoir toujours raison	1	Schopenhauer, Arthur				Mille et une nuits (2003), Paperback	2003		5			L'art d'avoir toujours raison par Arthur Schopenhauer (2003)	5.9 inches	0.15 livres (poids)	5.9 pouces	0.3 pouces	4 pouces	5.9 x 4 x 0.3 inches								Your library	English	French	B3118.E5S4 v. 6	[284205301X]	284205301X, 9782842053017		168	Argument and Persuasion  > Logic > Philosophy and Psychology	1	Amazon.com	[2006-07-25]		44070
5015361	L'auteur et autres textes =: El hacedor (Collection L'Imaginaire)	1	Borges, Jorge Luis				Gallimard (1982), Edition: Ed. bilingue, Unknown Binding	1982		5			L'auteur et autres textes =: El hacedor (Collection L'Imaginaire) par Jorge Luis Borges (1982)	221 p.; 7.17 inches	0.44 livres (poids)	7.17 pouces	0.55 pouces	4.88 pouces	7.17 x 4.88 x 0.55 inches	221							Your library	English	Spanish	PQ7797.B635A23	[2070240371]	2070240371, 9782070240371		861.62	Early 20th Century (1901-) > Literature > Spanish and Portuguese Literature > Spanish poetry	1	Amazon.com	[2006-07-25]		23503
5015363	L'Homme sans qualités, tome 1	1	Musil, Robert				Seuil (1995), Paperback	1995		5			L'Homme sans qualités, tome 1 par Robert Musil (1995)	864 p.; 6.77 inches	1.06 livres (poids)	6.77 pouces	1.26 pouces	4.25 pouces	6.77 x 4.25 x 1.26 inches	864							Your library	English	German	PT2625.U8M313	[2020238152]	2020238152, 9782020238151		813	American Fiction > American literature > Literature	1	Amazon.com	[2006-07-25]		100739
5015364	Le Lièvre de Vatanen	1	Paasilinna, Arto				Gallimard (1993), Paperback	1993		5			Le Lièvre de Vatanen par Arto Paasilinna (1993)	203 p.; 7.01 inches	0.31 livres (poids)	7.01 pouces	0.63 pouces	3.94 pouces	7.01 x 3.94 x 0.63 inches	203							Your library	English	French	PH355.P22J313	[2070386023]	2070386023, 9782070386024		894.54133	Altaic, Finno-Ugric, and Uralic literatures > Finnish, Estonian, and Hungarian literatures > Literature > Literature of other languages 	1	Amazon.com	[2006-07-25]		449667
5015369	Lipstick Traces. Une histoire secrète du vingtième siècle	1	Marcus				Gallimard (2000), Paperback	2000		5			Lipstick Traces. Une histoire secrète du vingtième siècle par Marcus (2000)	602 p.; 6.69 inches	0.66 livres (poids)	6.69 pouces	1.1 pouces	4.25 pouces	6.69 x 4.25 x 1.1 inches	602							Your library	English	French	CB428.M356	[2070410773]	2070410773, 9782070410774	Art and society > History|Art and society > History > 20th century|Avant-garde (Aesthetics)|Popular culture > History|Popular culture > History > 20th century|Punk rock music > History and criticism|Sex Pistols (Musical group)	306.40904	Culture and Institutions > Social Sciences  > Social Sciences, Sociology, Anthropology > Specific aspects of culture	1	Amazon.com	[2006-07-25]		6803
5015371	Le livre de sable	1	Borges, Jorge Luis				Gallimard (1983), Paperback	1983		5			Le livre de sable par Jorge Luis Borges (1983)	147 p.; 6.85 inches	0.22 livres (poids)	6.85 pouces	0.47 pouces	4.25 pouces	6.85 x 4.25 x 0.47 inches	147							Your library	English	French	PZ3.B64818Bo 	[2070374610]	2070374610, 9782070374618		868	Authors, Spanish and Spanish miscellany > Literature > Spanish and Portuguese Literature	1	Amazon.com	[2006-07-25]		467534
5015373	Le Loup des steppes	1	Hesse, Hermann				LGF (1991), Paperback	1991		5			Le Loup des steppes par Hermann Hesse (1991)	224 p.; 6.69 inches	0.44 livres (poids)	6.69 pouces	0.55 pouces	4.33 pouces	6.69 x 4.33 x 0.55 inches	224							Your library	English	German	PT2617.E85S7	[2253002933]	2253002933, 9782253002932	American poetry > Year-books|American poetry > Year-books. [from old catalog]|Civilization, Western > Fiction|German fiction|Historical Fiction|Historical fiction|Life > Fiction|Psychological fiction|Publishers' advertisements > New York (State) > New York > 1963|Rock music|historical fiction	833.912	20th century, 1901- > Early 20th Century 1901- > German fiction > German fiction--1900-1945 > German literature > Literature	1	Amazon.com	[2006-07-25]		2136
5015377	Memoires D'Hadrien: Carnets De Notes De Memoires D'Hadrien (Folio Series No 921)	1	Yourcenar, Marguerite				Gallimard (1974), Paperback	1974		5			Memoires D'Hadrien: Carnets De Notes De Memoires D'Hadrien (Folio Series No 921) par Marguerite Yourcenar (1974)	364 p.; 6.9 inches	0.4 livres (poids)	6.9 pouces	0.9 pouces	4.2 pouces	6.9 x 4.2 x 0.9 inches	364							Your library	English	French	PZ3.Y897Me4	[2070369218]	2070369218, 9782070369218	Biographical fiction|Emperors > Fiction|Hadrian, 76-138 > Fiction. Emperor of Rome,|Hadrian, Emperor of Rome, 76-138 > Fiction|Hadrien, Emperor of Rome, 76-138 > Fiction|Historical Fiction|Historical fiction|Rome > Fiction. > Hadrian, 117-138|Rome > History > Fiction|Rome > History > Hadrian, 117-138 > Fiction|biographical fiction|historical fiction	843.912	Early 20th Century 1901- > French fiction > French literature > Literature	1	Amazon.com	[2006-07-25]		27479
5015379	Mansfield Park	1	Austen, Jane				Editions 10/18 (1996), Paperback	1996		5			Mansfield Park par Jane Austen (1996)	510 p.; 6.54 inches	1.63 livres (poids)	6.54 pouces	1.26 pouces	4.25 pouces	6.54 x 4.25 x 1.26 inches	510							Your library	English	German	PR4034.M3	[2264024704]	2264024704, 9782264024701	Adoptees > Fiction|Austen, Jane, 1775-1817. Mansfield Park|Bildungsromans|Children of the rich > Fiction|Country homes > England > Fiction|Country homes > Fiction|Cousins > Fiction|Domestic Fiction|Domestic fiction|England > Fiction|England > fiction|Feature|Love Stories|Love stories|Novels|Poor families > Fiction|Social classes > Fiction|Uncles > Fiction|Young women > England > Fiction|Young women > Fiction|novels	823.7	Early 19th century 1800-37 > English fiction > English literature > Literature	1	Amazon.com	[2006-07-25]		10107
5015381	Mathématique: Récit (Fiction & Cie)	1	Roubaud, Jacques				Seuil (1997), Unknown Binding	1997		5			Mathématique: Récit (Fiction & Cie) par Jacques Roubaud (1997)	279 p.; 8.03 inches	0.62 livres (poids)	8.03 pouces	0.87 pouces	5.51 pouces	8.03 x 5.51 x 0.87 inches	279							Your library	English	French	PQ2678.O77M3713	[2020306832]	2020306832, 9782020306836		848	Authors, French and French miscellany > French literature > Literature	1	Amazon.com	[2006-07-25]		7720295
5015382	Moby dick	1	Melville, Herman				Gallimard (1996), Paperback	1996		5			Moby dick by H. Melville (1996)	741 p.; 6.77 inches	0.79 livres (poids)	6.77 pouces	1.34 pouces	4.33 pouces	6.77 x 4.33 x 1.34 inches	741						roman, classique, aventures, mer	Your library	English	German	PS2384.M6	[2070400662]	2070400662, 9782070400669	Adventure fiction|Adventure stories|Ahab, Captain (Fictitious character) > Fiction|Allegories|American literature > History and criticism|Cartoons and comics|Epic literature|Melville, Herman, 1819-1891 Moby Dick|Melville, Herman, 1819-1891. Moby Dick|Mentally ill > Fiction|Psychological fiction|Sailors > Fiction|Sea Stories|Sea stories|Sea stories, American > History and criticism|Ship captains > Fiction|Shipwrecks > Fiction|Whales > Fiction|Whales in literature|Whaling|Whaling > Fiction|Whaling in literature|Whaling ships > Fiction|adventure stories	813.3	American Fiction > American literature > Literature > Middle 19th Century 1830-1861	1	Amazon.com	[2006-07-25]		15540
